"","ID","이름","분류번호","대권역","수계","중권역","수질목표","주소","위도.DMS도.","위도.DMS분.","위도.DMS초.","경도.DMS도.","경도.DMS분.","경도.DMS초.","lat","long","RCH_ID","본.지류","하천.호소","수량","총량","자동","퇴적물","방사성","예보","주요","중권역.1","보대","조사기관","TN","x","y","type"
"침산교","침산교","","3009A35","금강","금강","갑천","","대전광역시중구침산동(침산교)",36,16,38.48,127,23,52.45,36.27735556,127.3979028,30090503,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"대전광역시",2.15462948207171,127.3979028,36.27735556,"large"
"유등천1","유등천1","","3009A40","금강","금강","갑천","","대전광역시 중구 산성동 (버드내다리)",36,18,15.23,127,22,53.76,36.30423056,127.3816,30090503,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"대전광역시",4.82026388888889,127.3816,36.30423056,"small"
"옥계교","옥계교","","3009A45","금강","금강","갑천","","대전광역시 중구 옥계동(옥계교)",36,17,50.01,127,27,23.97,36.297225,127.4566583,30090401,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"대전광역시",1.44619444444444,127.4566583,36.297225,"small"
"대전천1","대전천1","","3009A50","금강","금강","갑천","","대전광역시 중구 문창동( 문창교)",36,18,54.17,127,26,21.95,36.31504722,127.4394306,30090401,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"대전광역시",2.89549295774648,127.4394306,36.31504722,"small"
"대전천2","대전천2","","3009A55","금강","금강","갑천","","대전광역시 중구 선화동(영교)",36,19,59.1,127,25,31.47,36.33308333,127.4254083,30090403,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"대전광역시",3.12794382022472,127.4254083,36.33308333,"large"
"대전천3","대전천3","","3009A60","금강","금강","갑천","","대전광역시 동구 삼성동 (현암교)",36,20,20.66,127,25,5.95,36.33907222,127.4183194,30090404,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"대전광역시",5.67574576271186,127.4183194,36.33907222,"small"
"유등천5","유등천5","","3009A62","금강","금강","갑천","","대전광역시 대덕구 오정동 (한밭대교)",36,21,25.94,127,24,8,36.35720556,127.4022222,30090508,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"대전광역시",1.82515277777778,127.4022222,36.35720556,"small"
"갑천4","갑천4","","3009A65","금강","금강","갑천","","대전광역시 유성구 전민동 (갑천교)",36,24,17.23,127,24,43.98,36.40478611,127.4122167,30090610,"지","하천",1,NA,NA,NA,1,NA,NA,NA,NA,"대전광역시",2.14883266932271,127.4122167,36.40478611,"large"
"갑천5","갑천5","","3009A70","금강","금강","갑천","","대전광역시 유성구 (신구교)",36,26,10.67,127,23,31,36.43629722,127.3919444,30090614,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"대전광역시",2.75219123505976,127.3919444,36.43629722,"large"
"갑천5-1","갑천5-1","갑천A","3009A80","금강","금강","갑천","III","대전광역시 유성구 문평동 (금강합류0.5km전)",36,27,13.72,127,23,59.87,36.45381111,127.3999639,30090614,"지","하천",1,1,NA,1,1,1,1,1,NA,"금강물환경연구소",3.5540625,127.3999639,36.45381111,"large"
"세종1","세종1","금본G-1","3010A15","금강","금강","대청댐하류","","세종특별자치시 부강면 금호리",36,29,44.91,127,23,23.41,36.49580833,127.3898361,30100201,"본","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",2.99274264705882,127.3898361,36.49580833,"large"
"청원-1","청원-1","금본G","3010A20","금강","금강","대청댐하류","","세종특별자치시 부강면 부강리 (동양시멘트옆가교)",36,30,49.16,127,21,55.75,36.51365556,127.3654861,30100202,"본","하천",1,1,NA,1,1,1,1,1,NA,"금강물환경연구소",2.47868571428571,127.3654861,36.51365556,"small"
"백천","백천","금본G2","3010A30","금강","금강","대청댐하류","","세종특별자치시 부강면 부강리 (세월교)",36,31,22.59,127,21,48.64,36.52294167,127.3635111,30100202,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",5.202656,127.3635111,36.52294167,"large"
"미호천1","미호천1","","3011A05","금강","금강","미호천","","충청북도 음성군 삼성면 천평리",36,58,39.58,127,30,10.12,36.97766111,127.5028111,30110203,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"금강유역환경청",2.26327888446215,127.5028111,36.97766111,"large"
"칠장천","칠장천","","3011A10","금강","금강","미호천","","충청북도 진천군 광혜원면 월성리(월성교)",36,58,30.69,127,27,4.96,36.97519167,127.4513778,30110208,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",2.14478873239437,127.4513778,36.97519167,"small"
"미호천1-1","미호천1-1","미호A1","3011A15","금강","금강","미호천","","충청북도 진천군 이월면 미잠리 (미리실교)",36,56,10.01,127,27,42.34,36.93611389,127.4617611,30110209,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",2.81994366197183,127.4617611,36.93611389,"small"
"한천","한천","미호A2","3011A17","금강","금강","미호천","","충청북도 진천군 덕산면 한천리 (한천교)",36,54,31.75,127,30,25.73,36.90881944,127.5071472,30110101,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",1.50005859375,127.5071472,36.90881944,"large"
"미호천2","미호천2","","3011A20","금강","금강","미호천","","충청북도 진천군 초평면 오갑리 (오갑교)",36,50,33.02,127,30,20.19,36.84250556,127.5056083,30110214,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"금강유역환경청",2.22930555555556,127.5056083,36.84250556,"small"
"백곡천1","백곡천1","","3011A25","금강","금강","미호천","","충청북도 진천군 백곡면 석현리 (상송교)",36,52,42.25,127,22,55.79,36.87840278,127.3821639,30110301,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",3.95175714285714,127.3821639,36.87840278,"small"
"백곡천2","백곡천2","","3011A30","금강","금강","미호천","","충청북도 진천군 진천읍 신정리 (지석마을)",36,51,14.33,127,27,38.26,36.85398056,127.4606278,30110401,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",3.1822734082397,127.4606278,36.85398056,"large"
"미호천7","미호천7","","3011A32","금강","금강","미호천","","충청북도 진천군 문백면 구곡리 (농다리)",36,49,27.52,127,29,44.68,36.82431111,127.4957444,30110801,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"금강유역환경청",2.28538888888889,127.4957444,36.82431111,"small"
"초평천","초평천","","3011A35","금강","금강","미호천","","충청북도 진천군 초평면 용정리 (용정교)",36,50,32.32,127,31,25.64,36.84231111,127.5237889,30110603,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",4.90239215686274,127.5237889,36.84231111,"large"
"미호천3","미호천3","미호A","3011A40","금강","금강","미호천","","충청북도 청주시 청원구 오창읍 여천리 (여암교)",36,46,9.59,127,30,43.56,36.76933056,127.5121,30110803,"지","하천",1,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",1.32516,127.5121,36.76933056,"large"
"보강천1","보강천1","미호B1","3011A43","금강","금강","미호천","","충청북도 증평군 증평읍 초중리 (증평대교)",36,47,3.13,127,34,59.42,36.78420278,127.5831722,30110705,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",3.21709561752988,127.5831722,36.78420278,"large"
"보강천","보강천","","3011A45","금강","금강","미호천","","충청북도 증평군 증평읍 연탄리 (반탄교)
",36,46,52.5,127,34,29.21,36.78125,127.5747806,30110707,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",3.13376923076923,127.5747806,36.78125,"large"
"성암천","성암천","미호B2","3011A48","금강","금강","미호천","","충청북도 진천군 문백면 도하리 (모정교)",36,44,24.68,127,28,4.7,36.74018889,127.4679722,30110805,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",2.10533333333333,127.4679722,36.74018889,"small"
"무심천","무심천","무심A1","3011A53","금강","금강","미호천","","충청북도 청주시 상당구 남일면 신송리 (신송교)",36,34,55.61,127,30,15.69,36.58211389,127.5043583,30111003,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",2.90913147410359,127.5043583,36.58211389,"large"
